name,candidate_type,city,gugun,category,address,lat,lng,tel,closed_day,week_start,week_end,sat_start,sat_end,holiday_start,holiday_end,seat,books,publications,nonbook,loan_num,loan_day,organization,site_area,build_area,homepage,data_date,inst_code,inst_name
주례1동 작은도서관,도서관,부산광역시,사상구,작은도서관,부산광역시 사상구 가야대로 255번길 17,35.15133904,129.0010985,051-310-3155,매주토요일+매주일요일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,8,1905,0,0,5,14,-,-,73,-,2022-11-25,3390000,-
부산기독교 종합사회복지관 강유두작은도서관,도서관,부산광역시,서구,작은도서관,"부산광역시 서구 까치고개로229번길 40, (토성동2가)",35.1015803,129.021149,051-257-9404,"매주토요일, 일요일, 국가지정공휴일",9:00,17:00,0:00,0:00,0:00,0:00,40,6322,0,0,5,7,사회복지법인 감리회 태화복지재단,-,146.64,-,2022-10-13,3260000,-
샤롯데 작은도서관,도서관,부산광역시,서구,작은도서관,"부산광역시 서구 대티로 161, (서대신동3가, 대신롯데캐슬)",35.11666873,129.010293,051-255-9008,"매주월요일, 국가지정공휴일",14:00,18:00,10:00,18:00,0:00,0:00,16,3423,0,0,2,7,대신롯데캐슬아파트입주자대표회의,-,56.44,-,2022-10-13,3260000,-
서구문화원작은도서관,도서관,부산광역시,서구,작은도서관,"부산광역시 서구 까치고개로197번길 46, (아미동2가)",35.101987,129.0175956,051-241-6001,"매주월요일, 일요일, 국가지정공휴일",9:00,18:00,10:00,17:00,0:00,0:00,31,9457,0,0,2,7,부산서구문화원,-,187.76,-,2022-10-13,3260000,-
송도바다 작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 충무대로 83(암남동주민센터),35.079883,129.020955,051-240-6676,"매주일요일, 국가지정공휴일",9:00,18:00,9:00,18:00,0:00,0:00,34,6458,0,0,5,14,암남동주민센터,-,168,-,2022-10-13,3260000,-
송도제일교회문고,도서관,부산광역시,서구,작은도서관,부산광역시 서구 성산길 46,35.08132898,129.0128728,051-248-6071,"매주월요일, 화요일, 수요일, 목요일, 금요일, 토요일",0:00,0:00,0:00,0:00,9:00,17:00,45,5600,0,0,2,7,송도제일교회,-,150,-,2022-10-13,3260000,-
어울림 작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 해돋이로 59,35.084636,129.019611,051-240-6624,"매주일요일, 국가지정공휴일",9:00,18:00,9:00,18:00,0:00,0:00,30,4068,0,0,5,14,남부민2동행정복지센터,-,98.97,-,2022-10-13,3260000,-
짬짬이 작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 구덕로295번길 4(서대신골목시장 고객쉼터),35.110417,129.017322,051-240-6465,"매주일요일, 국가지정공휴일",9:00,18:00,9:30,13:30,0:00,0:00,20,3429,0,0,5,14,서대신1동행정복지센터,-,64.8,-,2022-10-13,3260000,-
초장동꿈터작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 초장로27번길 32,35.095979,129.020279,051-240-6565,"매주일요일, 국가지정공휴일",9:00,18:00,10:00,17:00,0:00,0:00,24,5177,0,43,5,14,초장동주민센터,-,198,-,2022-10-13,3260000,-
한새마을 작은도서관,도서관,부산광역시,서구,작은도서관,"부산광역시 서구 대신로 27, (서대신동3가)",35.113473,129.011941,051-240-6482,"매주일요일, 국가지정공휴일",9:00,18:00,9:00,18:00,0:00,0:00,52,4562,0,0,5,14,서대신3동주민센터,-,106.04,-,2022-10-13,3260000,-
향기나는 작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 구덕로280번길 32,35.109636,129.020208,051-240-6403,"매주일요일, 국가지정공휴일",9:00,18:00,10:00,17:00,0:00,0:00,18,4479,0,0,5,14,동대신1동주민센터,-,34.5,-,2022-10-13,3260000,-
꽃마루어린이작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 꽃마을로 58,35.11925097,129.0117858,051-240-6517,"매주월요일, 국가지정공휴일",9:00,18:00,9:00,18:00,0:00,0:00,20,2570,0,0,5,14,서대신4동주민센터,-,102,-,2022-10-13,3260000,-
남일이네 작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 천마로 176,35.09132144,129.0228985,051-240-6602,"매주일요일, 국가지정공휴일",9:00,18:00,9:00,18:00,0:00,0:00,32,5532,0,0,5,14,남부민1동행정복지센터,-,69.32,-,2022-10-13,3260000,-
대신푸르지오 푸른도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 대영로38번길 11,35.107398,129.016132,051-257-8652,"매주화요일, 목요일, 금요일, 일요일",15:30,17:30,9:00,12:00,0:00,0:00,30,1170,0,0,2,7,대신푸르지오아파트입주자대표회의,-,149.13,-,2022-10-13,3260000,-
부산연탄은행 마르지 않는 샘,도서관,부산광역시,서구,작은도서관,부산광역시 서구 구덕로157번길 33-1,35.09870125,129.0180972,051-246-2464,"매주토요일, 일요일, 국가지정공휴일",9:00,18:00,0:00,0:00,0:00,0:00,14,4180,0,0,5,7,부산연탄은행,-,57.67,-,2022-10-13,3260000,-
작은여울 도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 진남로232번길 51(문현동),35.1463895,129.077963,051-636-0086,토+일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,10,1300,2,1,5,7,-,-,-,-,2022-06-09,3310000,-
참사랑도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 동명로101번길 81(용호동),35.12356623,129.1076523,070-7594-8906,토+일+공휴일,13:00,18:00,0:00,0:00,0:00,0:00,20,1060,0,0,0,0,-,-,-,-,2022-06-09,3310000,-
책나루작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 용호로 189-1(용호동),35.11535686,129.1114723,051-611-0316,월,14:00,18:00,14:00,18:00,14:00,18:00,20,3139,3,550,3,7,-,-,-,-,2022-06-09,3310000,-
책나무그늘 작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 용호로 38-17(용호동),35.12627622,129.106656,051-611-7923,일+공휴일,13:00,18:00,13:00,18:00,0:00,0:00,24,14122,1,60,4,7,-,-,-,-,2022-06-09,3310000,-
청소년쉼터도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 우암로 50(감만동),35.11494928,129.0816969,051-645-8350,토+일+공휴일,12:00,18:00,0:00,0:00,0:00,0:00,30,7100,0,0,3,7,-,-,-,-,2022-06-09,3310000,-
캐슬리안북카페,도서관,부산광역시,남구,작은도서관,"부산광역시 남구 수영로 325번길61(대연동, 대연동 롯데캐슬아파트)",35.14093791,129.0999161,051-626-9531,연중무휴,10:00,22:00,10:00,22:00,10:00,22:00,6,1000,0,0,0,0,-,-,-,-,2022-06-09,3310000,-
행복한 작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 양지골로169번길 56(감만동),35.11599005,129.0828025,051-636-0691,토+일+공휴일,13:00,20:00,0:00,0:00,0:00,0:00,8,2500,2,0,0,0,-,-,-,-,2022-06-09,3310000,-
샘터작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 수영로 205-11(대연동),35.13547563,129.0887312,051-622-3130,토+일+공휴일,10:00,19:00,0:00,0:00,0:00,0:00,27,2500,0,0,3,7,-,-,-,-,2022-06-09,3310000,-
솔로몬 도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 고동골로 5(문현동),35.13756377,129.070824,070-7596-7189,월,13:00,17:00,13:00,17:00,13:00,17:00,32,6500,2,0,3,7,-,-,-,-,2022-06-09,3310000,-
수피아,도서관,부산광역시,남구,작은도서관,"부산광역시 남구 장고개로85번길 14-37, 상가1층(문현동)",35.13205269,129.0684774,051-631-1949,일+공휴일,10:00,18:00,10:00,18:00,0:00,0:00,16,1035,2,0,0,0,-,-,-,-,2022-06-09,3310000,-
수학공방강장작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 용호로42번길 95(용호동),35.12258875,129.1097593,051-626-3257,토+일+공휴일,13:00,18:00,0:00,0:00,0:00,0:00,12,1200,24,0,0,0,-,-,-,-,2022-06-09,3310000,-
용당꿈꾸는어린이도서관,도서관,부산광역시,남구,작은도서관,"부산광역시 남구 동명로 26, (용당동)",35.11885199,129.0995203,051-901-1409,월+화+목+토+일+공휴일,14:00,18:00,0:00,0:00,0:00,0:00,19,1200,0,0,0,0,-,-,-,-,2022-06-09,3310000,-
고맙습니다.글마루작은도서관,도서관,부산광역시,중구,작은도서관,부산광역시 중구 동영로 87-1,35.1127605,129.0316475,051-469-8451,월요일,10:00,20:00,10:00,20:00,10:00,20:00,50,12232,9,209,5,15,부산어깨동무,229.2,198.85,blog.naver.com/thanks_gmr,2022-10-24,3250000,-
보수동책방골목어린이도서관,도서관,부산광역시,중구,어린이도서관,부산광역시 중구 대청로 57-16,35.10337044,129.0262272,051-255-9141,월요일,10:00,20:00,10:00,20:00,10:00,20:00,40,11279,212,83,5,15,부산어깨동무,89.9,181.76,blog.naver.com/okelib,2022-10-24,3250000,-
??다작은도서관,도서관,부산광역시,중구,작은도서관,부산광역시 중구 대청로 61-2,35.10321832,129.026751,051-743-7650,월요일,10:00,18:00,10:00,18:00,10:00,18:00,50,6365,0,0,3,15,중구청,112.7,94.44,https://www.smalllibrary.org/library/detail/1047678,2022-10-24,3250000,-
책갈피작은도서관,도서관,부산광역시,중구,작은도서관,부산광역시 중구 보수대로 124번길 24-2,35.105783,129.022642,051-247-8425,월요일,10:00,20:00,10:00,18:00,10:00,18:00,24,12888,0,0,3,7,(재)내원청소년단,180.5,180.5,purun1318.org/,2022-10-24,3250000,-
산리작은도서관,도서관,부산광역시,중구,작은도서관,부산광역시 중구 영주로 21,35.10946964,129.0313921,051-462-5200,"토,일요일",9:00,18:00,0:00,0:00,0:00,0:00,12,3343,0,0,3,7,산리협동조합,53,53,-,2022-10-24,3250000,-
민들레작은도서관,도서관,부산광역시,중구,작은도서관,부산광역시 중구 흑교로 75번길 11-1,35.10533785,129.022609,051-245-4392,"월,화,목요일",14:00,18:00,14:00,18:00,0:00,0:00,50,46525,0,0,3,14,성광교회,247.5,247.5,-,2022-10-24,3250000,-
구정자료실작은도서관,도서관,부산광역시,중구,작은도서관,부산광역시 중구 중구로 120,35.10619853,129.032312,051-600-4615,"토,일요일",9:00,18:00,0:00,0:00,0:00,0:00,9,4768,0,80,2,5,중구청,53.8,53.8,-,2022-10-24,3250000,-
해운대인문학도서관,도서관,부산광역시,해운대구,공공도서관,부산광역시 해운대구 반여로 132,35.20222638,129.1263076,051-749-6580,매주 월요일 및 국가지정 공휴일,9:00,22:00,9:00,18:00,0:00,0:00,299,96965,94,2899,5,14,부산광역시 해운대구청,1384.8,2996.75,www.haeundae.go.kr/library,2022-06-07,3330000,-
반여도서관,도서관,부산광역시,해운대구,공공도서관,부산광역시 해운대구 재반로 282번길 38,35.20203016,129.1338093,051-783-4010,매주 월요일 및 국가지정 공휴일,9:00,22:00,9:00,18:00,0:00,0:00,162,96682,30,2517,5,14,부산광역시 해운대구청,992,890.58,www.haeundae.go.kr/library,2022-06-07,3330000,-
재송어린이도서관,도서관,부산광역시,해운대구,공공도서관,부산광역시 해운대구 해운대로76번길 35-1,35.18213816,129.1213963,051-749-7631,매주 월요일 및 국가지정 공휴일,9:00,18:00,9:00,18:00,0:00,0:00,219,129441,31,6698,5,14,부산광역시 해운대구청,636,1091.35,www.haeundae.go.kr/library,2022-06-07,3330000,-
작은인문학도서관,도서관,부산광역시,해운대구,작은도서관,부산광역시 해운대구 센텀중앙로 170,35.18963248,129.1184929,051-749-2922,매주 일·월요일 및 국가지정 공휴일,9:00,18:00,9:00,18:00,0:00,0:00,166,18592,16,0,5,14,부산광역시 해운대구청,138.65,138.65,www.haeundae.go.kr/library,2022-06-07,3330000,-
망미도서관,도서관,부산광역시,수영구,공공도서관,부산광역시 수영구 연수로 315번길 23,35.1734151,129.104916,051-610-4709,월+국가지정공휴일,9:00,22:00,9:00,18:00,9:00,9:00,110,83476,65,0,5,14,부산광역시 수영구청,-,-,www.suyeong.go.kr/library/index.suyeong,2022-06-08,3380000,-
수영구어린이도서관,도서관,부산광역시,수영구,공공도서관,부산광역시 수영구 장대골로 75-6,35.15974715,129.1049944,051-610-3891,월+국가지정공휴일,9:00,18:00,9:00,18:00,9:00,9:00,100,20477,19,0,5,14,부산광역시 수영구청,-,-,www.suyeong.go.kr/library/index.suyeong,2022-06-08,3380000,-
민락작은도서관,도서관,부산광역시,수영구,작은도서관,부산광역시 수영구 광안해변로295번길 20,35.15725991,129.1254341,051-610-6098,월+일+국가지정공휴일,9:00,18:00,9:00,18:00,9:00,9:00,0,16028,8,0,5,14,부산광역시 수영구청,-,-,www.suyeong.go.kr/library/index.suyeong,2022-06-08,3380000,-
수영구도서관,도서관,부산광역시,수영구,공공도서관,부산광역시 수영구 남천서로 33,35.14438692,129.105318,051-610-3993,월+국가지정공휴일,9:00,22:00,9:00,18:00,9:00,9:00,222,133909,65,8374,5,14,부산광역시 수영구청,-,-,www.suyeong.go.kr/library/index.suyeong,2022-06-08,3380000,-
부산대학교병원 작은(쌈지) 도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 구덕로 179,35.101053,129.019223,051-240-7494,"매주토요일, 일요일, 국가지정공휴일",9:00,17:30,0:00,0:00,0:00,0:00,12,2500,0,0,2,7,부산대학교병원,-,55.2,-,2022-10-13,3260000,-
숲속어린이작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 꽃마을로163번길 73,35.12612044,129.0044301,051-240-4168,"매주월요일, 국가지정공휴일",9:30,17:30,9:30,17:30,0:00,0:00,30,3700,0,0,5,14,부산광역시 서구청,-,239,-,2022-10-13,3260000,-
닥밭골 작은 도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 보동길275번길 9,35.112963,129.023222,051-240-6424,"매주일요일, 국가지정공휴일",9:00,18:00,9:00,18:00,0:00,0:00,7,2519,0,0,5,14,동대신2동주민센터,-,45,-,2022-10-13,3260000,-
동서남-BOOK 작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 해돋이로 288,35.101968,129.016602,051-256-0269,"매주토요일,  국가지정공휴일",10:00,18:00,0:00,0:00,9:00,12:00,25,6960,3,0,5,14,동서남-BOOK 작은도서관,-,80,-,2022-10-13,3260000,-
부민작은도서관,도서관,부산광역시,서구,작은도서관,부산광역시 서구 해돋이로 313,35.104366,129.016588,051-255-1606,"매주토요일, 일요일, 국가지정공휴일",14:00,18:00,0:00,0:00,0:00,0:00,30,10624,7,0,5,14,부산시구덕시립도서관,-,40.95,-,2022-10-13,3260000,-
휴포레작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지국제5로 141,35.10753083,128.9211202,051-292-2846,토+일+공휴일,14:00,18:00,0:00,0:00,0:00,0:00,17,1818,0,0,5,14,명지협성휴포레아파트대표회의,125,125,-,2022-09-30,3360000,-
극동스타클래스작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지오션시티2로 71,35.08395235,128.8999885,051-271-2142,월+일+공휴일,10:00,22:00,0:00,0:00,0:00,0:00,120,10745,0,0,3,10,극동스타클래스작은도서관,367,367,-,2022-09-30,3360000,-
링컨타운책벌레작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지오션시티10로 16,35.08639247,128.8967866,051-271-7170,화+목+토+일+공휴일,13:00,17:00,0:00,0:00,0:00,0:00,22,5679,0,0,5,14,퀸덤1차 링컨타운아파트,121,121,-,2022-09-30,3360000,-
아인슈타인타운책벌레작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지오션시티11로 51,35.08637338,128.8998473,051-271-7781,토+일+공휴일,13:00,17:00,0:00,0:00,0:00,0:00,36,2498,0,0,4,14,퀸덤1차 아이슈타인타운,129,129,-,2022-09-30,3360000,-
에디슨타운책벌레작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지오션시티10로 17,35.08814982,128.8973624,051-271-0541,휴관,0:00,0:00,0:00,0:00,0:00,0:00,23,4183,0,0,5,14,퀸덤1차 에디슨타운,131,131,-,2022-09-30,3360000,-
책나무작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 대저로63번길 31,35.21676104,128.9593384,051-972-4591,토+일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,12,3964,0,0,2,14,강서구종합사회복지관,45,45,-,2022-09-30,3360000,-
명지한신휴플러스작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지오션시티1로 155(명지오션시티 한신휴플러스 109동),35.08081407,128.9011278,051-271-2750,화+목+토+일+공휴일,10:00,17:00,0:00,0:00,0:00,0:00,60,3666,0,0,5,14,명지한신휴플러스,332,332,-,2022-09-30,3360000,-
솔마레작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지오션시티12로 10(엘크루솔마레 107동),35.08173983,128.8965973,051-271-3999,공휴일,9:00,18:00,9:00,18:00,0:00,0:00,107,1792,0,0,5,14,엘크루솔마레아파트,382,382,-,2022-09-30,3360000,-
에일린의뜰작은도서관,도서관,부산광역시,강서구,작은도서관,부산광역시 강서구 명지국제5로 60,35.10045574,128.920892,051-291-8855,연중무휴,5:00,23:00,5:00,23:00,5:00,23:00,28,1442,0,0,6,7,명지에일린의뜰,65,65,-,2022-09-30,3360000,-
금정도서관,도서관,부산광역시,금정구,공공도서관,부산광역시 금정구 금정도서관로 33(청룡동),35.27261359,129.096181,051-519-5601,매주 월요일 및 국가지정 공휴일,9:00,22:00,9:00,17:00,0:00,0:00,1168,249939,101,14057,5,14,부산광역시 금정구청(공립),8181,8466,library.geumjeong.go.kr,2022-11-22,3350000,-
금샘도서관,도서관,부산광역시,금정구,공공도서관,"부산광역시 금정구 기찰로94(부곡동), 금샘도서관",35.23915436,129.0939607,051-519-5900,매주 월요일 및 국가지정 공휴일,9:00,22:00,9:00,17:00,0:00,0:00,88,56210,68,571,5,14,부산광역시 금정구청(공립),3447,4787,https://www.geumjeong.go.kr/gslib/index.geumj,2022-11-22,3350000,-
만덕도서관,도서관,부산광역시,북구,공공도서관,부산광역시 북구 은행나무로 26 (만덕동),35.207233,129.037782,051-309-2097,매주 월요일 및 국가지정 공휴일,9:00,22:00,9:00,18:00,0:00,0:00,173,129196,67,12355,5,14,부산광역시 북구청,2300,3315,https://www.bsbukgu.go.kr/mdlib,2023-02-21,3320000,-
화명도서관,도서관,부산광역시,북구,공공도서관,부산광역시 북구 화명대로12번길 59(화명동),35.2321898,129.0093939,051-309-6481,매주 월요일 및 국가지정 공휴일,7:00,22:00,7:00,22:00,0:00,0:00,311,170471,82,4237,5,14,부산광역시 북구청,1983,3859,https://www.bsbukgu.go.kr/hmlib,2023-02-21,3320000,-
