dept,addrRoad,tel,gugun,dataDay,posCd,lat,lng
망미제2동행정복지센터,부산광역시 수영구 수미로35번길 40,051-610-5941,부산광역시 수영구,2023-12-31,48216,35.1753268755,129.1152597497
광안제1동행정복지센터,부산광역시 수영구 광일로14번길 17,051-610-5951,부산광역시 수영구,2023-12-31,48248,35.1629105383,129.1124011032
주례3동행정복지센터,부산광역시 사상구 냉정로 10 (주례동),051-310-3200,사상구,2025-01-10,47015,35.14735385,129.0014188
엄궁동행정복지센터,부산광역시 사상구 엄궁북로 15 (엄궁동),051-310-3240,사상구,2025-01-10,47039,35.1286897,128.9722018
학장동행정복지센터,부산광역시 사상구 학감대로147번길 11 (학장동),051-310-3220,사상구,2025-01-10,47023,35.14409856,128.9873101
덕포1동행정복지센터,부산광역시 사상구 강선로 31 (덕포동),051-310-3080,사상구,2025-01-10,46951,35.16921556,128.9857149
덕포2동행정복지센터,부산광역시 사상구 사상로333번길 17 (덕포동),051-310-3100,사상구,2025-01-10,46946,35.17445701,128.9829679
괘법동행정복지센터,부산광역시 사상구 광장로97번길 6 (괘법동),051-310-3120,사상구,2025-01-10,46967,35.16375902,128.9871967
감전동행정복지센터,부산광역시 사상구 새벽시장로56번길 20 (감전동),051-310-3140,사상구,2025-01-10,46989,35.15420438,128.9794093
주례1동행정복지센터,부산광역시 사상구 가야대로255번길 17 (주례동),051-310-3160,사상구,2025-01-10,47002,35.15134072,129.0010945
주례2동행정복지센터,부산광역시 사상구 주례로10번길 15 (주례동),051-310-3180,사상구,2025-01-10,47007,35.15006435,129.0104185
구포1동행정복지센터,부산광역시 북구 낙동대로1762번길 75(구포동),051-309-6201,북구,2025-06-30,46583,35.206499,129.001046
구포2동행정복지센터,부산광역시 북구 낙동북로681번길 23(구포동),051-309-6221,북구,2025-06-30,46634,35.20198,129.000215
구포3동행정복지센터,부산광역시 북구 시랑로118번길 23(구포동),051-309-6241,북구,2025-06-30,46644,35.194931,129.008789
금곡동행정복지센터,부산광역시 북구 금곡대로 466(금곡동),051-309-6261,북구,2025-06-30,46509,35.25008,129.012846
화명3동행정복지센터,부산광역시 북구 화명신도시로 85(화명동),051-309-6348,북구,2025-06-30,46527,35.231868,129.010049
덕천3동행정복지센터,부산광역시 북구 덕천로 118(덕천동),051-309-6401,북구,2025-06-30,46589,35.209921,129.017453
화명1동행정복지센터,부산광역시 북구 금곡대로 274(화명동),051-309-6301,북구,2025-06-30,46533,35.232784,129.013784
화명2동행정복지센터,부산광역시 북구 양달로 58(화명동),051-309-6321,북구,2025-06-30,46516,35.243612,129.019841
모라1동행정복지센터,부산광역시 사상구 모라로 93 (모라동),051-310-3040,사상구,2025-01-10,46929,35.18696716,128.9897506
모라3동행정복지센터,부산광역시 사상구 모라로110번길 99 (모라동),051-310-3060,사상구,2025-01-10,46934,35.18465287,128.9960576
서3동 행정복지센터,부산광역시 금정구 서곡로33번길 9,051-519-5140,금정구,2025-12-11,46317,35.21719941,129.1039315
금사회동동 행정복지센터,부산광역시 금정구 금사로 85번길 2,051-519-5180,금정구,2025-12-11,46264,35.22030885,129.1111159
구서2동 행정복지센터,부산광역시 금정구 금강로 584 (구서동),051-519-5420,금정구,2025-12-11,46229,35.249672,129.087748
부곡4동 행정복지센터,부산광역시 금정구 부곡로18번안길 37,051-519-5260,금정구,2025-12-11,46310,35.2198881,129.0885675
부산광역시 서구 남부민1동행정복지센터,부산광역시 서구 충무대로255번길 5-26 (남부민동),051-240-6601,서구,2025-12-10,49256,35.09274776,129.0233125
삼락동행정복지센터,부산광역시 사상구 낙동대로1310번길 19 (삼락동),051-310-3020,사상구,2025-01-10,46911,35.17700607,128.9776411
부산광역시 서구 남부민2동행정복지센터,부산광역시 서구 천마로 87 (남부민동),051-240-6621,서구,2025-12-10,49262,35.08450841,129.0205445
부산광역시 서구 서대신1동행정복지센터,부산광역시 서구 구덕로315번길 49 (서대신동2가),051-240-6461,서구,2025-12-10,49227,35.11108286,129.0144178
서1동 행정복지센터,부산광역시 금정구 서부로69번길 17,051-519-5100,금정구,2025-12-11,46318,35.21832587,129.0991299
서2동 행정복지센터,부산광역시 금정구 서동중심로 33,051-519-5120,금정구,2025-12-11,46327,35.21287248,129.1044952
부곡2동 행정복지센터,부산광역시 금정구 부곡로156번길 7,051-519-5220,금정구,2025-12-11,46271,35.22983858,129.0926983
부곡3동 행정복지센터,부산광역시 금정구 기찰로 107,051-519-5240,금정구,2025-12-11,46266,35.24051869,129.0938126
청룡노포동 행정복지센터,부산광역시 금정구 청룡로 25,051-519-5360,금정구,2025-12-11,46218,35.27525568,129.0898683
남산동 행정복지센터,부산광역시 금정구 중앙대로2097번길 4,051-519-5380,금정구,2025-12-11,46219,35.27166154,129.0922619
구서1동 행정복지센터,부산광역시 금정구 수림로72번길 123,051-519-5400,금정구,2025-12-11,46242,35.245113,129.0868973
부곡1동 행정복지센터,부산광역시 금정구 동부곡로6번길 29,051-519-5200,금정구,2025-12-11,46305,35.22440783,129.0921346
광안제2동행정복지센터,부산광역시 수영구 광안로16번길 22,051-610-5961,부산광역시 수영구,2023-12-31,48298,35.1557622399,129.1138318373
광안제3동행정복지센터,부산광역시 수영구 연수로404번길 27,051-610-5971,부산광역시 수영구,2023-12-31,48242,35.1675329872,129.1124788759
광안제4동행정복지센터,부산광역시 수영구 수영로 541,051-610-5981,부산광역시 수영구,2023-12-31,48262,35.1541028042,129.1119341212
민락동행정복지센터,부산광역시 수영구 광안해변로295번길 20,051-610-5991,부산광역시 수영구,2023-12-31,48290,35.1572221187,129.1254463666
선두구동 행정복지센터,부산광역시 금정구 두구죽전1길 13,051-519-5340,금정구,2025-12-11,46208,35.29827301,129.1133472
금성동 행정복지센터,부산광역시 금정구 산성로 452,051-519-5440,금정구,2025-12-11,46237,35.25032259,129.0561352
장전1동 행정복지센터,부산광역시 금정구 수림로71번길 36,051-519-5280,금정구,2025-12-11,46281,35.23819277,129.0844857
남천제1동행정복지센터,부산광역시 수영구 남천동로 13,051-610-5901,부산광역시 수영구,2023-12-31,48307,35.1426869353,129.1103347406
장전2동 행정복지센터,부산 금정구 소정로 19,051-519-5300,금정구,2025-12-11,46296,35.22774818,129.0809686
복산동행정복지센터,부산광역시 동래구 복천로 1,051-550-6321,부산광역시 동래구,2023-12-31,47748,35.2057971329,129.0860992783
명륜동행정복지센터,부산광역시 동래구 명륜로207번길 26,051-550-6361,부산광역시 동래구,2023-12-31,47742,35.2124863731,129.0815564884
온천1동행정복지센터,부산광역시 동래구 금강로 127,051-550-6381,부산광역시 동래구,2023-12-31,47703,35.2200540506,129.080110258
온천2동행정복지센터,부산광역시 동래구 충렬대로107번길 28,051-550-6401,부산광역시 동래구,2023-12-31,47732,35.2079852369,129.072986387
온천3동행정복지센터,부산광역시 동래구 사직북로28번길 153,051-550-6421,부산광역시 동래구,2023-12-31,47850,35.2034170121,129.0654912696
사직1동행정복지센터,부산광역시 동래구 석사로 19,051-550-6441,부산광역시 동래구,2023-12-31,47856,35.1989568694,129.061947834
사직2동행정복지센터,부산광역시 동래구 사직북로63번길 22,051-550-6461,부산광역시 동래구,2023-12-31,47861,35.1992178434,129.0575206137
만덕3동행정복지센터,부산광역시 북구 만덕3로 52(만덕동),051-309-6461,북구,2025-06-30,46571,35.211372,129.029146
덕천1동행정복지센터,부산광역시 북구 만덕대로102번가길 11(덕천동),051-309-6361,북구,2025-06-30,46568,35.212442,129.016661
덕천2동행정복지센터,부산광역시 북구 금곡대로20번길 56(덕천동),051-309-6381,북구,2025-06-30,46548,35.21236329,129.00783
만덕1동행정복지센터,부산광역시 북구 만덕1로 1(만덕동),051-309-6421,북구,2025-06-30,46561,35.213456,129.036367
만덕2동행정복지센터,부산광역시 북구 만덕2로44번길 10(만덕동),051-309-6441,북구,2025-06-30,46566,35.210185,129.037204
남항동 행정복지센터,부산광역시 영도구 남항로9번길 1 (남항동1가),051-419-5501,영도구,2025-06-30,49045,35.089972,129.037629
영선1동 행정복지센터,부산광역시 영도구 꿈나무길 25 (영선동1가),051-419-5521,영도구,2025-06-30,49060,35.090244,129.045
영선2동 행정복지센터,부산광역시 영도구 영선대로 65 (영선동3가),051-419-5541,영도구,2025-06-30,49056,35.087001,129.04132
신선동 행정복지센터,부산광역시 영도구 하나길 317 (신선동3가),051-419-5601,영도구,2025-06-30,49078,35.083381,129.045156
봉래1동 행정복지센터,부산광역시 영도구 대교로6번길 5 (봉래동3가),051-419-5621,영도구,2025-06-30,49005,35.093502,129.04432
봉래2동 행정복지센터,"부산광역시 영도구 태종로 160, 수도빌딩 1·2층 (봉래동4가)",051-419-5641,영도구,2025-06-30,49057,35.093405,129.046151
청학1동 행정복지센터,부산광역시 영도구 청학서로 78 (청학동),051-419-5681,영도구,2025-06-30,49024,35.096877,129.058347
청학2동 행정복지센터,부산광역시 영도구 태종로 394 (청학동),051-419-5701,영도구,2025-06-30,49016,35.091909,129.065741
동삼1동 행정복지센터,부산광역시 영도구 중리로 44-1 (동삼동),051-419-5721,영도구,2025-06-30,49115,35.074912,129.068403
동삼2동 행정복지센터,부산광역시 영도구 동삼오션로 27 (동삼동),051-419-5741,영도구,2025-06-30,49128,35.068566,129.084054
동삼3동 행정복지센터,부산광역시 영도구 상리로 39 (동삼동),051-419-5761,영도구,2025-06-30,49089,35.084663,129.068651
기장읍 행정복지센터,부산광역시 기장군 기장읍 차성동로32,051-709-5134,기장군,2025-12-01,46071,35.240796,129.216774
장안읍 행정복지센터,부산광역시 기장군 장안읍 해맞이로 8,051-709-5172,기장군,2025-12-01,46033,35.312655,129.244819
정관읍 행정복지센터,부산광역시 기장군 정관읍 용수로 4,051-709-5244,기장군,2025-12-01,46013,35.325808,129.18
일광읍 행정복지센터,부산광역시 기장군 일광읍 일광로 96,051-709-5215,기장군,2025-12-01,46044,35.265072,129.233432
철마면 행정복지센터,부산광역시 기장군 철마면 철마로 485,051-709-5278,기장군,2025-12-01,46049,35.275216,129.149745
연산2동 행정복지센터,부산광역시 연제구 중앙대로1038번길 39,051-665-5811,연제구,2025-12-08,47599,35.1799941,129.0793098
연산3동 행정복지센터,부산광역시 연제구 연수로218번길 4,051-665-5831,연제구,2025-12-08,47614,35.173375,129.0942319
연산4동 행정복지센터,부산광역시 연제구 쌍미천로151번길 42,051-665-5851,연제구,2025-12-08,47550,35.1863135,129.0849372
연산5동 행정복지센터,부산광역시 연제구 거제천로124번길 15,051-665-5871,연제구,2025-12-08,47539,35.18451,129.0760879
연산6동 행정복지센터,부산광역시 연제구 쌍미천로52번길 2,051-665-5891,연제구,2025-12-08,47589,35.1774818,129.0896726
연산8동 행정복지센터,부산광역시 연제구 과정로 262,051-665-5911,연제구,2025-12-08,47564,35.1881563,129.0987713
연산9동 행정복지센터,부산광역시 연제구 과정로164번길 38,051-665-5931,연제구,2025-12-08,47569,35.1859262,129.1093942
거제3동 행정복지센터,부산광역시 연제구 거제대로 180,051-665-5751,연제구,2025-12-08,47543,35.1843052,129.0712092
거제4동 행정복지센터,부산광역시 연제구 화지로52번길 33,051-665-5771,연제구,2025-12-08,47533,35.1800247,129.065931
거제1동 행정복지센터,부산광역시 연제구 법원북로 88,051-665-5711,연제구,2025-12-08,47511,35.1918799,129.0756496
거제2동 행정복지센터,부산광역시 연제구 아시아드대로22번길 19,051-665-5731,연제구,2025-12-08,47526,35.1877811,129.0702984
연산1동 행정복지센터,부산광역시 연제구 연동로8번길 66,051-665-5791,연제구,2025-12-08,47552,35.1900127,129.0904324
